run,run_short,step,metric,key,value
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,81,Rollout correct ratio,wdl_sft/correct_ratio,0.4140625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,81,Gradient norm,actor/grad_norm,8.289493560791016
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,82,Rollout correct ratio,wdl_sft/correct_ratio,0.41796875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,82,Gradient norm,actor/grad_norm,9.295926094055176
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,83,Rollout correct ratio,wdl_sft/correct_ratio,0.4296875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,83,Gradient norm,actor/grad_norm,8.20058536529541
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,84,Rollout correct ratio,wdl_sft/correct_ratio,0.513671875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,84,Gradient norm,actor/grad_norm,8.532231330871582
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,85,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5060975609756098
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,85,MBPP+,val-core/MBPP+/acc/pass@1,0.5185185185185185
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,85,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.140625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,85,Rollout correct ratio,wdl_sft/correct_ratio,0.525390625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,85,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,85,Gradient norm,actor/grad_norm,8.067816734313965
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,86,Rollout correct ratio,wdl_sft/correct_ratio,0.345703125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,86,Gradient norm,actor/grad_norm,8.609606742858887
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,87,Rollout correct ratio,wdl_sft/correct_ratio,0.44140625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,87,Gradient norm,actor/grad_norm,7.280032157897949
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,88,Rollout correct ratio,wdl_sft/correct_ratio,0.365234375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,88,Gradient norm,actor/grad_norm,10.060148239135742
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,89,Rollout correct ratio,wdl_sft/correct_ratio,0.60546875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,89,Gradient norm,actor/grad_norm,6.655431747436523
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,90,HumanEval+,val-core/HumanEval+/acc/pass@1,0.4634146341463415
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,90,MBPP+,val-core/MBPP+/acc/pass@1,0.5026455026455027
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,90,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.171875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,90,Rollout correct ratio,wdl_sft/correct_ratio,0.41796875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,90,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,90,Gradient norm,actor/grad_norm,9.504462242126465
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,91,Rollout correct ratio,wdl_sft/correct_ratio,0.537109375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,91,Gradient norm,actor/grad_norm,6.397139072418213
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,92,Rollout correct ratio,wdl_sft/correct_ratio,0.462890625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,92,Gradient norm,actor/grad_norm,8.182600975036621
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,93,Rollout correct ratio,wdl_sft/correct_ratio,0.44921875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,93,Gradient norm,actor/grad_norm,8.816298484802246
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,94,Rollout correct ratio,wdl_sft/correct_ratio,0.466796875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,94,Gradient norm,actor/grad_norm,7.9918131828308105
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,95,HumanEval+,val-core/HumanEval+/acc/pass@1,0.4878048780487805
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,95,MBPP+,val-core/MBPP+/acc/pass@1,0.5158730158730159
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,95,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.140625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,95,Rollout correct ratio,wdl_sft/correct_ratio,0.51953125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,95,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.0
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,95,Gradient norm,actor/grad_norm,7.2273945808410645
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,96,Rollout correct ratio,wdl_sft/correct_ratio,0.359375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,96,Gradient norm,actor/grad_norm,8.991122245788574
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,97,Rollout correct ratio,wdl_sft/correct_ratio,0.427734375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,97,Gradient norm,actor/grad_norm,7.4519853591918945
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,98,Rollout correct ratio,wdl_sft/correct_ratio,0.3828125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,98,Gradient norm,actor/grad_norm,10.400198936462402
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,99,Rollout correct ratio,wdl_sft/correct_ratio,0.44140625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,99,Gradient norm,actor/grad_norm,7.9036641120910645
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,100,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5182926829268293
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,100,MBPP+,val-core/MBPP+/acc/pass@1,0.5158730158730159
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,100,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1484375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,100,Rollout correct ratio,wdl_sft/correct_ratio,0.4765625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,100,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,100,Gradient norm,actor/grad_norm,7.726709365844727
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,101,Rollout correct ratio,wdl_sft/correct_ratio,0.470703125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,101,Gradient norm,actor/grad_norm,7.836079120635986
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,102,Rollout correct ratio,wdl_sft/correct_ratio,0.455078125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,102,Gradient norm,actor/grad_norm,6.83029842376709
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,103,Rollout correct ratio,wdl_sft/correct_ratio,0.40625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,103,Gradient norm,actor/grad_norm,8.893765449523926
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,104,Rollout correct ratio,wdl_sft/correct_ratio,0.431640625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,104,Gradient norm,actor/grad_norm,7.937641620635986
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,105,HumanEval+,val-core/HumanEval+/acc/pass@1,0.4817073170731707
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,105,MBPP+,val-core/MBPP+/acc/pass@1,0.5105820105820106
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,105,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1640625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,105,Rollout correct ratio,wdl_sft/correct_ratio,0.431640625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,105,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,105,Gradient norm,actor/grad_norm,9.299375534057617
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,106,Rollout correct ratio,wdl_sft/correct_ratio,0.455078125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,106,Gradient norm,actor/grad_norm,7.629060745239258
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,107,Rollout correct ratio,wdl_sft/correct_ratio,0.431640625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,107,Gradient norm,actor/grad_norm,7.721428871154785
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,108,Rollout correct ratio,wdl_sft/correct_ratio,0.4453125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,108,Gradient norm,actor/grad_norm,7.210034370422363
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,109,Rollout correct ratio,wdl_sft/correct_ratio,0.408203125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,109,Gradient norm,actor/grad_norm,8.932854652404785
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,110,HumanEval+,val-core/HumanEval+/acc/pass@1,0.4695121951219512
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,110,MBPP+,val-core/MBPP+/acc/pass@1,0.5185185185185185
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,110,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1640625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,110,Rollout correct ratio,wdl_sft/correct_ratio,0.466796875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,110,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.0
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,110,Gradient norm,actor/grad_norm,7.761562824249268
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,111,Rollout correct ratio,wdl_sft/correct_ratio,0.4921875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,111,Gradient norm,actor/grad_norm,7.135280609130859
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,112,Rollout correct ratio,wdl_sft/correct_ratio,0.46484375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,112,Gradient norm,actor/grad_norm,8.174057960510254
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,113,Rollout correct ratio,wdl_sft/correct_ratio,0.43359375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,113,Gradient norm,actor/grad_norm,8.561038970947266
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,114,Rollout correct ratio,wdl_sft/correct_ratio,0.48046875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,114,Gradient norm,actor/grad_norm,7.648531436920166
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,115,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5182926829268293
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,115,MBPP+,val-core/MBPP+/acc/pass@1,0.5079365079365079
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,115,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1484375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,115,Rollout correct ratio,wdl_sft/correct_ratio,0.423828125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,115,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,115,Gradient norm,actor/grad_norm,9.015524864196777
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,116,Rollout correct ratio,wdl_sft/correct_ratio,0.33203125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,116,Gradient norm,actor/grad_norm,9.892571449279785
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,117,Rollout correct ratio,wdl_sft/correct_ratio,0.439453125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,117,Gradient norm,actor/grad_norm,7.83143949508667
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,118,Rollout correct ratio,wdl_sft/correct_ratio,0.439453125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,118,Gradient norm,actor/grad_norm,8.529825210571289
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,119,Rollout correct ratio,wdl_sft/correct_ratio,0.4609375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,119,Gradient norm,actor/grad_norm,7.660367012023926
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,120,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5182926829268293
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,120,MBPP+,val-core/MBPP+/acc/pass@1,0.5026455026455027
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,120,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.171875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,120,Rollout correct ratio,wdl_sft/correct_ratio,0.462890625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,120,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.0
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,120,Gradient norm,actor/grad_norm,8.25560474395752
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,121,Rollout correct ratio,wdl_sft/correct_ratio,0.375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,121,Gradient norm,actor/grad_norm,10.25242805480957
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,122,Rollout correct ratio,wdl_sft/correct_ratio,0.53125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,122,Gradient norm,actor/grad_norm,7.644865989685059
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,123,Rollout correct ratio,wdl_sft/correct_ratio,0.466796875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,123,Gradient norm,actor/grad_norm,7.670097351074219
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,124,Rollout correct ratio,wdl_sft/correct_ratio,0.419921875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,124,Gradient norm,actor/grad_norm,8.173991203308105
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,125,HumanEval+,val-core/HumanEval+/acc/pass@1,0.4878048780487805
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,125,MBPP+,val-core/MBPP+/acc/pass@1,0.5132275132275133
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,125,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.171875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,125,Rollout correct ratio,wdl_sft/correct_ratio,0.490234375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,125,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,125,Gradient norm,actor/grad_norm,7.948739528656006
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,126,Rollout correct ratio,wdl_sft/correct_ratio,0.439453125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,126,Gradient norm,actor/grad_norm,7.762363433837891
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,127,Rollout correct ratio,wdl_sft/correct_ratio,0.458984375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,127,Gradient norm,actor/grad_norm,7.52338981628418
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,128,Rollout correct ratio,wdl_sft/correct_ratio,0.435546875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,128,Gradient norm,actor/grad_norm,8.518309593200684
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,129,Rollout correct ratio,wdl_sft/correct_ratio,0.4765625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,129,Gradient norm,actor/grad_norm,8.654739379882812
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,130,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5182926829268293
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,130,MBPP+,val-core/MBPP+/acc/pass@1,0.5026455026455027
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,130,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1640625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,130,Rollout correct ratio,wdl_sft/correct_ratio,0.53125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,130,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,130,Gradient norm,actor/grad_norm,7.15672492980957
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,131,Rollout correct ratio,wdl_sft/correct_ratio,0.49609375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,131,Gradient norm,actor/grad_norm,7.3984551429748535
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,132,Rollout correct ratio,wdl_sft/correct_ratio,0.4765625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,132,Gradient norm,actor/grad_norm,7.805371284484863
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,133,Rollout correct ratio,wdl_sft/correct_ratio,0.423828125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,133,Gradient norm,actor/grad_norm,7.890472412109375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,134,Rollout correct ratio,wdl_sft/correct_ratio,0.486328125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,134,Gradient norm,actor/grad_norm,7.39414644241333
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,135,HumanEval+,val-core/HumanEval+/acc/pass@1,0.4817073170731707
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,135,MBPP+,val-core/MBPP+/acc/pass@1,0.5158730158730159
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,135,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.15625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,135,Rollout correct ratio,wdl_sft/correct_ratio,0.333984375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,135,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.012195121951219513
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,135,Gradient norm,actor/grad_norm,9.23339557647705
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,136,Rollout correct ratio,wdl_sft/correct_ratio,0.490234375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,136,Gradient norm,actor/grad_norm,7.517148494720459
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,137,Rollout correct ratio,wdl_sft/correct_ratio,0.408203125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,137,Gradient norm,actor/grad_norm,8.671955108642578
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,138,Rollout correct ratio,wdl_sft/correct_ratio,0.53125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,138,Gradient norm,actor/grad_norm,7.143791198730469
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,139,Rollout correct ratio,wdl_sft/correct_ratio,0.494140625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,139,Gradient norm,actor/grad_norm,7.767313003540039
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,140,HumanEval+,val-core/HumanEval+/acc/pass@1,0.49390243902439024
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,140,MBPP+,val-core/MBPP+/acc/pass@1,0.5
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,140,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1640625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,140,Rollout correct ratio,wdl_sft/correct_ratio,0.47265625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,140,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.0
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,140,Gradient norm,actor/grad_norm,7.972529411315918
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,141,Rollout correct ratio,wdl_sft/correct_ratio,0.548828125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,141,Gradient norm,actor/grad_norm,6.791011333465576
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,142,Rollout correct ratio,wdl_sft/correct_ratio,0.462890625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,142,Gradient norm,actor/grad_norm,8.380982398986816
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,143,Rollout correct ratio,wdl_sft/correct_ratio,0.478515625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,143,Gradient norm,actor/grad_norm,8.380202293395996
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,144,Rollout correct ratio,wdl_sft/correct_ratio,0.474609375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,144,Gradient norm,actor/grad_norm,7.44184684753418
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,145,HumanEval+,val-core/HumanEval+/acc/pass@1,0.47560975609756095
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,145,MBPP+,val-core/MBPP+/acc/pass@1,0.5158730158730159
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,145,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,145,Rollout correct ratio,wdl_sft/correct_ratio,0.419921875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,145,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.012195121951219513
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,145,Gradient norm,actor/grad_norm,9.617831230163574
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,146,Rollout correct ratio,wdl_sft/correct_ratio,0.42578125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,146,Gradient norm,actor/grad_norm,9.291544914245605
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,147,Rollout correct ratio,wdl_sft/correct_ratio,0.513671875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,147,Gradient norm,actor/grad_norm,8.693188667297363
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,148,Rollout correct ratio,wdl_sft/correct_ratio,0.49609375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,148,Gradient norm,actor/grad_norm,8.476991653442383
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,149,Rollout correct ratio,wdl_sft/correct_ratio,0.392578125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,149,Gradient norm,actor/grad_norm,8.10954761505127
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,150,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,150,MBPP+,val-core/MBPP+/acc/pass@1,0.5158730158730159
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,150,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1484375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,150,Rollout correct ratio,wdl_sft/correct_ratio,0.380859375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,150,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.0
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,150,Gradient norm,actor/grad_norm,9.42751693725586
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,0,HumanEval+,val-core/HumanEval+/acc/pass@1,0.4634146341463415
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,0,MBPP+,val-core/MBPP+/acc/pass@1,0.5132275132275133
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,0,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1328125
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,0,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.024390243902439025
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,1,Rollout correct ratio,wdl_sft/correct_ratio,0.44140625
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,1,Gradient norm,actor/grad_norm,7.614803791046143
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,2,Rollout correct ratio,wdl_sft/correct_ratio,0.443359375
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,2,Gradient norm,actor/grad_norm,8.68860149383545
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,3,Rollout correct ratio,wdl_sft/correct_ratio,0.462890625
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,3,Gradient norm,actor/grad_norm,7.343716144561768
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,4,Rollout correct ratio,wdl_sft/correct_ratio,0.4296875
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,4,Gradient norm,actor/grad_norm,8.692164421081543
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,5,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,5,MBPP+,val-core/MBPP+/acc/pass@1,0.5052910052910053
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,5,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.140625
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,5,Rollout correct ratio,wdl_sft/correct_ratio,0.447265625
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,5,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,5,Gradient norm,actor/grad_norm,7.989854335784912
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,6,Rollout correct ratio,wdl_sft/correct_ratio,0.404296875
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,6,Gradient norm,actor/grad_norm,8.787559509277344
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,7,Rollout correct ratio,wdl_sft/correct_ratio,0.3359375
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,7,Gradient norm,actor/grad_norm,8.864925384521484
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,8,Rollout correct ratio,wdl_sft/correct_ratio,0.423828125
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,8,Gradient norm,actor/grad_norm,8.474736213684082
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,9,Rollout correct ratio,wdl_sft/correct_ratio,0.400390625
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,9,Gradient norm,actor/grad_norm,8.612394332885742
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,10,HumanEval+,val-core/HumanEval+/acc/pass@1,0.4451219512195122
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,10,MBPP+,val-core/MBPP+/acc/pass@1,0.5026455026455027
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,10,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.140625
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,10,Rollout correct ratio,wdl_sft/correct_ratio,0.521484375
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,10,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.012195121951219513
Cold-start 1.7B Stage1 $\beta=0.1$,beta01,10,Gradient norm,actor/grad_norm,7.566583633422852
